item_id,vendor_name,title,match_name,score,cand_calories,cand_raw_snippet
51ef1dc9-3,healthybee,Rajma Masala Brown Rice Meal Box,rice white cooked,85.5,,"{'name': 'Rice White Cooked', 'aliases': ['white rice', 'steamed rice', 'plain rice'], 'category': 'grains', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 130, 'protein_g': 2.7, 'carbs_g': 28.0, 'fat_g': 0.3, 'fiber_g': 0.4, 'sodium_mg': 1}, 'micros': {'iron_mg': 0.2, 'calcium_mg':"
51ef1dc9-3,healthybee,Rajma Masala Brown Rice Meal Box,brown rice cooked,85.5,,"{'name': 'Brown Rice Cooked', 'aliases': ['brown rice', 'unpolished rice'], 'category': 'grains', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 111, 'protein_g': 2.6, 'carbs_g': 23.0, 'fat_g': 0.9, 'fiber_g': 1.8, 'sodium_mg': 5}, 'micros': {'iron_mg': 0.6, 'calcium_mg': 10, 'magne"
51ef1dc9-4,healthybee,Protein Rich Chickpea Curry Brown Rice Meal Box,rice white cooked,85.5,,"{'name': 'Rice White Cooked', 'aliases': ['white rice', 'steamed rice', 'plain rice'], 'category': 'grains', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 130, 'protein_g': 2.7, 'carbs_g': 28.0, 'fat_g': 0.3, 'fiber_g': 0.4, 'sodium_mg': 1}, 'micros': {'iron_mg': 0.2, 'calcium_mg':"
51ef1dc9-4,healthybee,Protein Rich Chickpea Curry Brown Rice Meal Box,brown rice cooked,85.5,,"{'name': 'Brown Rice Cooked', 'aliases': ['brown rice', 'unpolished rice'], 'category': 'grains', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 111, 'protein_g': 2.6, 'carbs_g': 23.0, 'fat_g': 0.9, 'fiber_g': 1.8, 'sodium_mg': 5}, 'micros': {'iron_mg': 0.6, 'calcium_mg': 10, 'magne"
51ef1dc9-4,healthybee,Protein Rich Chickpea Curry Brown Rice Meal Box,chickpeas curry,85.5,,"{'name': 'Chickpeas Curry', 'aliases': ['chana masala', 'chole', 'chickpea curry', 'garbanzo beans'], 'category': 'pulses', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 164, 'protein_g': 8.9, 'carbs_g': 27.4, 'fat_g': 2.6, 'fiber_g': 7.6, 'sodium_mg': 350}, 'micros': {'iron_mg': 2"
51ef1dc9-5,healthybee,Chicken Tikka Wrap,chicken tikka,95.0,,"{'name': 'Chicken Tikka', 'aliases': ['grilled chicken', 'tandoori chicken tikka'], 'category': 'poultry', 'serving': '100g (4-5 pieces)', 'macros': {'per': '100g', 'kcal': 148, 'protein_g': 24.5, 'carbs_g': 2.1, 'fat_g': 4.2, 'fiber_g': 0.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.2, 'zinc_mg': "
51ef1dc9-5,healthybee,Chicken Tikka Wrap,chicken curry,66.5,,"{'name': 'Chicken Curry', 'aliases': ['chicken masala', 'chicken gravy'], 'category': 'poultry', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 165, 'protein_g': 18.5, 'carbs_g': 4.2, 'fat_g': 8.5, 'fiber_g': 1.2, 'sodium_mg': 480}, 'micros': {'iron_mg': 1.5, 'zinc_mg': 1.8, 'vitami"
51ef1dc9-5,healthybee,Chicken Tikka Wrap,biryani chicken,63.33333333333332,,"{'name': 'Biryani Chicken', 'aliases': ['chicken biryani', 'hyderabadi biryani'], 'category': 'rice-dishes', 'serving': '1 plate (250g)', 'macros': {'per': '100g', 'kcal': 185, 'protein_g': 8.5, 'carbs_g': 24.2, 'fat_g': 6.8, 'fiber_g': 1.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.8, 'calcium_mg'"
51ef1dc9-6,healthybee,Protein Rich Chickpea Wrap,chickpeas curry,65.76923076923076,,"{'name': 'Chickpeas Curry', 'aliases': ['chana masala', 'chole', 'chickpea curry', 'garbanzo beans'], 'category': 'pulses', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 164, 'protein_g': 8.9, 'carbs_g': 27.4, 'fat_g': 2.6, 'fiber_g': 7.6, 'sodium_mg': 350}, 'micros': {'iron_mg': 2"
51ef1dc9-6,healthybee,Protein Rich Chickpea Wrap,sprouts,65.45454545454547,,"{'name': 'Sprouts', 'aliases': ['moong sprouts', 'mixed sprouts'], 'category': 'pulses', 'serving': '1 katori (100g)', 'macros': {'per': '100g', 'kcal': 30, 'protein_g': 3.0, 'carbs_g': 5.9, 'fat_g': 0.2, 'fiber_g': 1.8, 'sodium_mg': 6}, 'micros': {'iron_mg': 1.3, 'calcium_mg': 13, 'vitamin_c_mg': 1"
51ef1dc9-6,healthybee,Protein Rich Chickpea Wrap,biryani chicken,60.00000000000001,,"{'name': 'Biryani Chicken', 'aliases': ['chicken biryani', 'hyderabadi biryani'], 'category': 'rice-dishes', 'serving': '1 plate (250g)', 'macros': {'per': '100g', 'kcal': 185, 'protein_g': 8.5, 'carbs_g': 24.2, 'fat_g': 6.8, 'fiber_g': 1.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.8, 'calcium_mg'"
51ef1dc9-7,healthybee,Strawberry Banana Chia Smoothie,banana,90.0,,"{'name': 'Banana', 'aliases': ['ripe banana', 'kela'], 'category': 'fruits', 'serving': '1 medium (100g)', 'macros': {'per': '100g', 'kcal': 89, 'protein_g': 1.1, 'carbs_g': 22.8, 'fat_g': 0.3, 'fiber_g': 2.6, 'sodium_mg': 1}, 'micros': {'potassium_mg': 358, 'vitamin_c_mg': 8.7, 'vitamin_b6_mg': 0.4"
51ef1dc9-7,healthybee,Strawberry Banana Chia Smoothie,smoothie bowl,85.5,,"{'name': 'Smoothie Bowl', 'aliases': ['fruit smoothie', 'berry smoothie'], 'category': 'breakfast', 'serving': '1 bowl (300g)', 'macros': {'per': '100g', 'kcal': 85, 'protein_g': 2.8, 'carbs_g': 16.5, 'fat_g': 1.2, 'fiber_g': 2.5, 'sodium_mg': 35}, 'micros': {'vitamin_c_mg': 45, 'calcium_mg': 95, 'p"
51ef1dc9-7,healthybee,Strawberry Banana Chia Smoothie,biryani chicken,48.0,,"{'name': 'Biryani Chicken', 'aliases': ['chicken biryani', 'hyderabadi biryani'], 'category': 'rice-dishes', 'serving': '1 plate (250g)', 'macros': {'per': '100g', 'kcal': 185, 'protein_g': 8.5, 'carbs_g': 24.2, 'fat_g': 6.8, 'fiber_g': 1.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.8, 'calcium_mg'"
51ef1dc9-8,healthybee,Protein Rich Chickpea Sandwich,chickpeas curry,65.76923076923076,,"{'name': 'Chickpeas Curry', 'aliases': ['chana masala', 'chole', 'chickpea curry', 'garbanzo beans'], 'category': 'pulses', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 164, 'protein_g': 8.9, 'carbs_g': 27.4, 'fat_g': 2.6, 'fiber_g': 7.6, 'sodium_mg': 350}, 'micros': {'iron_mg': 2"
51ef1dc9-8,healthybee,Protein Rich Chickpea Sandwich,sprouts,65.45454545454547,,"{'name': 'Sprouts', 'aliases': ['moong sprouts', 'mixed sprouts'], 'category': 'pulses', 'serving': '1 katori (100g)', 'macros': {'per': '100g', 'kcal': 30, 'protein_g': 3.0, 'carbs_g': 5.9, 'fat_g': 0.2, 'fiber_g': 1.8, 'sodium_mg': 6}, 'micros': {'iron_mg': 1.3, 'calcium_mg': 13, 'vitamin_c_mg': 1"
51ef1dc9-8,healthybee,Protein Rich Chickpea Sandwich,biryani chicken,60.00000000000001,,"{'name': 'Biryani Chicken', 'aliases': ['chicken biryani', 'hyderabadi biryani'], 'category': 'rice-dishes', 'serving': '1 plate (250g)', 'macros': {'per': '100g', 'kcal': 185, 'protein_g': 8.5, 'carbs_g': 24.2, 'fat_g': 6.8, 'fiber_g': 1.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.8, 'calcium_mg'"
51ef1dc9-9,healthybee,Chicken Tikka Sandwich,chicken tikka,90.0,,"{'name': 'Chicken Tikka', 'aliases': ['grilled chicken', 'tandoori chicken tikka'], 'category': 'poultry', 'serving': '100g (4-5 pieces)', 'macros': {'per': '100g', 'kcal': 148, 'protein_g': 24.5, 'carbs_g': 2.1, 'fat_g': 4.2, 'fiber_g': 0.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.2, 'zinc_mg': "
51ef1dc9-9,healthybee,Chicken Tikka Sandwich,chicken curry,85.5,,"{'name': 'Chicken Curry', 'aliases': ['chicken masala', 'chicken gravy'], 'category': 'poultry', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 165, 'protein_g': 18.5, 'carbs_g': 4.2, 'fat_g': 8.5, 'fiber_g': 1.2, 'sodium_mg': 480}, 'micros': {'iron_mg': 1.5, 'zinc_mg': 1.8, 'vitami"
51ef1dc9-9,healthybee,Chicken Tikka Sandwich,butter chicken,85.5,,"{'name': 'Butter Chicken', 'aliases': ['murgh makhani', 'chicken makhani'], 'category': 'poultry', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 235, 'protein_g': 14.5, 'carbs_g': 6.8, 'fat_g': 17.2, 'fiber_g': 1.2, 'sodium_mg': 620}, 'micros': {'iron_mg': 1.5, 'calcium_mg': 58, 'v"
51ef1dc9-10,healthybee,Only Peri Peri Grilled Chicken [200 gm],chicken curry,85.5,,"{'name': 'Chicken Curry', 'aliases': ['chicken masala', 'chicken gravy'], 'category': 'poultry', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 165, 'protein_g': 18.5, 'carbs_g': 4.2, 'fat_g': 8.5, 'fiber_g': 1.2, 'sodium_mg': 480}, 'micros': {'iron_mg': 1.5, 'zinc_mg': 1.8, 'vitami"
51ef1dc9-10,healthybee,Only Peri Peri Grilled Chicken [200 gm],chicken tikka,85.5,,"{'name': 'Chicken Tikka', 'aliases': ['grilled chicken', 'tandoori chicken tikka'], 'category': 'poultry', 'serving': '100g (4-5 pieces)', 'macros': {'per': '100g', 'kcal': 148, 'protein_g': 24.5, 'carbs_g': 2.1, 'fat_g': 4.2, 'fiber_g': 0.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.2, 'zinc_mg': "
51ef1dc9-10,healthybee,Only Peri Peri Grilled Chicken [200 gm],biryani chicken,85.5,,"{'name': 'Biryani Chicken', 'aliases': ['chicken biryani', 'hyderabadi biryani'], 'category': 'rice-dishes', 'serving': '1 plate (250g)', 'macros': {'per': '100g', 'kcal': 185, 'protein_g': 8.5, 'carbs_g': 24.2, 'fat_g': 6.8, 'fiber_g': 1.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.8, 'calcium_mg'"
51ef1dc9-11,healthybee,Purple Rice,rice white cooked,85.5,,"{'name': 'Rice White Cooked', 'aliases': ['white rice', 'steamed rice', 'plain rice'], 'category': 'grains', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 130, 'protein_g': 2.7, 'carbs_g': 28.0, 'fat_g': 0.3, 'fiber_g': 0.4, 'sodium_mg': 1}, 'micros': {'iron_mg': 0.2, 'calcium_mg':"
51ef1dc9-11,healthybee,Purple Rice,brown rice cooked,85.5,,"{'name': 'Brown Rice Cooked', 'aliases': ['brown rice', 'unpolished rice'], 'category': 'grains', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 111, 'protein_g': 2.6, 'carbs_g': 23.0, 'fat_g': 0.9, 'fiber_g': 1.8, 'sodium_mg': 5}, 'micros': {'iron_mg': 0.6, 'calcium_mg': 10, 'magne"
51ef1dc9-11,healthybee,Purple Rice,apple,54.0,,"{'name': 'Apple', 'aliases': ['fresh apple', 'seb'], 'category': 'fruits', 'serving': '1 medium (150g)', 'macros': {'per': '100g', 'kcal': 52, 'protein_g': 0.3, 'carbs_g': 13.8, 'fat_g': 0.2, 'fiber_g': 2.4, 'sodium_mg': 1}, 'micros': {'potassium_mg': 107, 'vitamin_c_mg': 4.6, 'calcium_mg': 6}}"
51ef1dc9-12,healthybee,Quinoa Chicken Tabbouleh Salad,chicken curry,85.5,,"{'name': 'Chicken Curry', 'aliases': ['chicken masala', 'chicken gravy'], 'category': 'poultry', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 165, 'protein_g': 18.5, 'carbs_g': 4.2, 'fat_g': 8.5, 'fiber_g': 1.2, 'sodium_mg': 480}, 'micros': {'iron_mg': 1.5, 'zinc_mg': 1.8, 'vitami"
51ef1dc9-12,healthybee,Quinoa Chicken Tabbouleh Salad,chicken tikka,85.5,,"{'name': 'Chicken Tikka', 'aliases': ['grilled chicken', 'tandoori chicken tikka'], 'category': 'poultry', 'serving': '100g (4-5 pieces)', 'macros': {'per': '100g', 'kcal': 148, 'protein_g': 24.5, 'carbs_g': 2.1, 'fat_g': 4.2, 'fiber_g': 0.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.2, 'zinc_mg': "
51ef1dc9-12,healthybee,Quinoa Chicken Tabbouleh Salad,biryani chicken,85.5,,"{'name': 'Biryani Chicken', 'aliases': ['chicken biryani', 'hyderabadi biryani'], 'category': 'rice-dishes', 'serving': '1 plate (250g)', 'macros': {'per': '100g', 'kcal': 185, 'protein_g': 8.5, 'carbs_g': 24.2, 'fat_g': 6.8, 'fiber_g': 1.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.8, 'calcium_mg'"
51ef1dc9-13,healthybee,Quinoa Paneer Tabbouleh Salad,paneer,90.0,,"{'name': 'Paneer', 'aliases': ['cottage cheese', 'indian cottage cheese', 'paneer cubes'], 'category': 'dairy', 'serving': '50g (3-4 cubes)', 'macros': {'per': '100g', 'kcal': 265, 'protein_g': 18.3, 'carbs_g': 1.2, 'fat_g': 20.8, 'fiber_g': 0, 'sodium_mg': 18}, 'micros': {'calcium_mg': 480, 'phosph"
51ef1dc9-13,healthybee,Quinoa Paneer Tabbouleh Salad,palak paneer,85.5,,"{'name': 'Palak Paneer', 'aliases': ['spinach paneer', 'spinach cottage cheese'], 'category': 'vegetables', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 145, 'protein_g': 8.5, 'carbs_g': 5.2, 'fat_g': 10.8, 'fiber_g': 2.1, 'sodium_mg': 420}, 'micros': {'iron_mg': 3.8, 'calcium_mg'"
51ef1dc9-13,healthybee,Quinoa Paneer Tabbouleh Salad,quinoa cooked,85.5,,"{'name': 'Quinoa Cooked', 'aliases': ['quinoa', 'cooked quinoa'], 'category': 'grains', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 120, 'protein_g': 4.4, 'carbs_g': 21.3, 'fat_g': 1.9, 'fiber_g': 2.8, 'sodium_mg': 7}, 'micros': {'iron_mg': 1.5, 'calcium_mg': 17, 'magnesium_mg': "
51ef1dc9-14,healthybee,Paneer Burrito Bowl,paneer,90.0,,"{'name': 'Paneer', 'aliases': ['cottage cheese', 'indian cottage cheese', 'paneer cubes'], 'category': 'dairy', 'serving': '50g (3-4 cubes)', 'macros': {'per': '100g', 'kcal': 265, 'protein_g': 18.3, 'carbs_g': 1.2, 'fat_g': 20.8, 'fiber_g': 0, 'sodium_mg': 18}, 'micros': {'calcium_mg': 480, 'phosph"
51ef1dc9-14,healthybee,Paneer Burrito Bowl,palak paneer,85.5,,"{'name': 'Palak Paneer', 'aliases': ['spinach paneer', 'spinach cottage cheese'], 'category': 'vegetables', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 145, 'protein_g': 8.5, 'carbs_g': 5.2, 'fat_g': 10.8, 'fiber_g': 2.1, 'sodium_mg': 420}, 'micros': {'iron_mg': 3.8, 'calcium_mg'"
51ef1dc9-14,healthybee,Paneer Burrito Bowl,poha,60.00000000000001,,"{'name': 'Poha', 'aliases': ['beaten rice', 'chivda', 'flattened rice'], 'category': 'breakfast', 'serving': '1 plate (150g)', 'macros': {'per': '100g', 'kcal': 158, 'protein_g': 2.1, 'carbs_g': 30.8, 'fat_g': 2.5, 'fiber_g': 1.8, 'sodium_mg': 320}, 'micros': {'iron_mg': 3.2, 'calcium_mg': 18, 'vita"
51ef1dc9-15,healthybee,Chicken Grilled Sandwich,chicken curry,85.5,,"{'name': 'Chicken Curry', 'aliases': ['chicken masala', 'chicken gravy'], 'category': 'poultry', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 165, 'protein_g': 18.5, 'carbs_g': 4.2, 'fat_g': 8.5, 'fiber_g': 1.2, 'sodium_mg': 480}, 'micros': {'iron_mg': 1.5, 'zinc_mg': 1.8, 'vitami"
51ef1dc9-15,healthybee,Chicken Grilled Sandwich,chicken tikka,85.5,,"{'name': 'Chicken Tikka', 'aliases': ['grilled chicken', 'tandoori chicken tikka'], 'category': 'poultry', 'serving': '100g (4-5 pieces)', 'macros': {'per': '100g', 'kcal': 148, 'protein_g': 24.5, 'carbs_g': 2.1, 'fat_g': 4.2, 'fiber_g': 0.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.2, 'zinc_mg': "
51ef1dc9-15,healthybee,Chicken Grilled Sandwich,biryani chicken,85.5,,"{'name': 'Biryani Chicken', 'aliases': ['chicken biryani', 'hyderabadi biryani'], 'category': 'rice-dishes', 'serving': '1 plate (250g)', 'macros': {'per': '100g', 'kcal': 185, 'protein_g': 8.5, 'carbs_g': 24.2, 'fat_g': 6.8, 'fiber_g': 1.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.8, 'calcium_mg'"
51ef1dc9-16,healthybee,Paneer Tikka Grilled Sandwich,paneer,90.0,,"{'name': 'Paneer', 'aliases': ['cottage cheese', 'indian cottage cheese', 'paneer cubes'], 'category': 'dairy', 'serving': '50g (3-4 cubes)', 'macros': {'per': '100g', 'kcal': 265, 'protein_g': 18.3, 'carbs_g': 1.2, 'fat_g': 20.8, 'fiber_g': 0, 'sodium_mg': 18}, 'micros': {'calcium_mg': 480, 'phosph"
51ef1dc9-16,healthybee,Paneer Tikka Grilled Sandwich,palak paneer,85.5,,"{'name': 'Palak Paneer', 'aliases': ['spinach paneer', 'spinach cottage cheese'], 'category': 'vegetables', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 145, 'protein_g': 8.5, 'carbs_g': 5.2, 'fat_g': 10.8, 'fiber_g': 2.1, 'sodium_mg': 420}, 'micros': {'iron_mg': 3.8, 'calcium_mg'"
51ef1dc9-16,healthybee,Paneer Tikka Grilled Sandwich,chicken tikka,85.5,,"{'name': 'Chicken Tikka', 'aliases': ['grilled chicken', 'tandoori chicken tikka'], 'category': 'poultry', 'serving': '100g (4-5 pieces)', 'macros': {'per': '100g', 'kcal': 148, 'protein_g': 24.5, 'carbs_g': 2.1, 'fat_g': 4.2, 'fiber_g': 0.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.2, 'zinc_mg': "
51ef1dc9-17,healthybee,Veg Grilled Sandwich,dosa,67.5,,"{'name': 'Dosa', 'aliases': ['plain dosa', 'crispy dosa'], 'category': 'breakfast', 'serving': '1 medium (100g)', 'macros': {'per': '100g', 'kcal': 168, 'protein_g': 3.9, 'carbs_g': 29.2, 'fat_g': 3.7, 'fiber_g': 1.4, 'sodium_mg': 125}, 'micros': {'iron_mg': 1.1, 'calcium_mg': 28, 'vitamin_b1_mg': 0"
51ef1dc9-17,healthybee,Veg Grilled Sandwich,egg boiled,63.0,,"{'name': 'Egg Boiled', 'aliases': ['boiled egg', 'hard boiled egg'], 'category': 'eggs', 'serving': '1 large egg (50g)', 'macros': {'per': '100g', 'kcal': 155, 'protein_g': 12.6, 'carbs_g': 1.1, 'fat_g': 10.6, 'fiber_g': 0, 'sodium_mg': 124}, 'micros': {'iron_mg': 1.2, 'calcium_mg': 50, 'vitamin_a_m"
51ef1dc9-17,healthybee,Veg Grilled Sandwich,salad mixed,54.4090909090909,,"{'name': 'Salad Mixed', 'aliases': ['green salad', 'vegetable salad', 'garden salad'], 'category': 'salads', 'serving': '1 bowl (150g)', 'macros': {'per': '100g', 'kcal': 25, 'protein_g': 1.2, 'carbs_g': 4.8, 'fat_g': 0.3, 'fiber_g': 2.5, 'sodium_mg': 15}, 'micros': {'vitamin_a_mcg': 285, 'vitamin_c"
51ef1dc9-18,healthybee,Punjabi Club Grilled Sandwich,dosa,67.5,,"{'name': 'Dosa', 'aliases': ['plain dosa', 'crispy dosa'], 'category': 'breakfast', 'serving': '1 medium (100g)', 'macros': {'per': '100g', 'kcal': 168, 'protein_g': 3.9, 'carbs_g': 29.2, 'fat_g': 3.7, 'fiber_g': 1.4, 'sodium_mg': 125}, 'micros': {'iron_mg': 1.1, 'calcium_mg': 28, 'vitamin_b1_mg': 0"
51ef1dc9-18,healthybee,Punjabi Club Grilled Sandwich,khichdi,54.0,,"{'name': 'Khichdi', 'aliases': ['moong dal khichdi', 'dal khichdi'], 'category': 'comfort-food', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 120, 'protein_g': 4.8, 'carbs_g': 21.5, 'fat_g': 1.8, 'fiber_g': 2.5, 'sodium_mg': 280}, 'micros': {'iron_mg': 1.5, 'calcium_mg': 28, 'fola"
51ef1dc9-18,healthybee,Punjabi Club Grilled Sandwich,pulao,54.0,,"{'name': 'Pulao', 'aliases': ['veg pulao', 'vegetable pulao'], 'category': 'rice-dishes', 'serving': '1 plate (200g)', 'macros': {'per': '100g', 'kcal': 145, 'protein_g': 3.2, 'carbs_g': 25.8, 'fat_g': 3.2, 'fiber_g': 2.2, 'sodium_mg': 385}, 'micros': {'iron_mg': 1.2, 'calcium_mg': 28, 'vitamin_c_mg"
51ef1dc9-19,healthybee,Chicken Coleslaw Sandwich,chicken curry,85.5,,"{'name': 'Chicken Curry', 'aliases': ['chicken masala', 'chicken gravy'], 'category': 'poultry', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 165, 'protein_g': 18.5, 'carbs_g': 4.2, 'fat_g': 8.5, 'fiber_g': 1.2, 'sodium_mg': 480}, 'micros': {'iron_mg': 1.5, 'zinc_mg': 1.8, 'vitami"
51ef1dc9-19,healthybee,Chicken Coleslaw Sandwich,chicken tikka,85.5,,"{'name': 'Chicken Tikka', 'aliases': ['grilled chicken', 'tandoori chicken tikka'], 'category': 'poultry', 'serving': '100g (4-5 pieces)', 'macros': {'per': '100g', 'kcal': 148, 'protein_g': 24.5, 'carbs_g': 2.1, 'fat_g': 4.2, 'fiber_g': 0.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.2, 'zinc_mg': "
51ef1dc9-19,healthybee,Chicken Coleslaw Sandwich,biryani chicken,85.5,,"{'name': 'Biryani Chicken', 'aliases': ['chicken biryani', 'hyderabadi biryani'], 'category': 'rice-dishes', 'serving': '1 plate (250g)', 'macros': {'per': '100g', 'kcal': 185, 'protein_g': 8.5, 'carbs_g': 24.2, 'fat_g': 6.8, 'fiber_g': 1.5, 'sodium_mg': 520}, 'micros': {'iron_mg': 1.8, 'calcium_mg'"
